protocol,timestamp,confidence_data,behaviors
VPN,2025-10-06 00:16:22.254465,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:22.557189,"{'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
VPN,2025-10-06 00:16:24.463432,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:29.940564,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:30.250138,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:30.555169,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:33.381714,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:33.692124,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:34.001437,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:36.214235,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:36.518271,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:39.983189,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:40.316616,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:42.177937,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:42.505237,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:42.812940,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:44.670113,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:46.278698,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:46.598594,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:48.533162,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:48.839450,"{'http_patterns': 1.0, 'vpn_overhead': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'vpn_overhead': ['vpn_tunneling'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:49.146907,"{'http_patterns': 1.0, 'malware_c2': 1.0}","{'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:52.599848,"{'ssl_tls_patterns': 1.0, 'http_patterns': 1.0, 'malware_c2': 1.0}","{'ssl_tls_patterns': ['encrypted_traffic'], 'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
HTTP,2025-10-06 00:15:52.935579,"{'ssl_tls_patterns': 1.0, 'http_patterns': 1.0, 'malware_c2': 1.0}","{'ssl_tls_patterns': ['encrypted_traffic'], 'http_patterns': ['http_traffic'], 'malware_c2': ['suspicious_c2_activity']}"
